step	train_acc	train_auc	train_bal_acc	train_fn	train_fp	train_tn	train_tnr	train_tp	train_tpr	val_acc	val_auc	val_bal_acc	val_fn	val_fp	val_tn	val_tnr	val_tp	val_tpr	train_f1	val_f1	selected_epoch
1	0.5385416746139526	0.4866804778575897	0.5065234303474426	28	415	30	0.06741572916507721	487	0.9456310868263244	0.4751381278038025	0.4921583235263825	0.489046573638916	32	63	40	0.3883495032787323	46	0.5897436141967773	0.6873676781933663	0.4919786096256685	FALSE
2	0.5666666626930237	0.5605934262275696	0.5448020100593567	80	336	109	0.2449438273906708	435	0.844660222530365	0.4309392273426056	0.5604929327964783	0.5	0	103	0	0	78	1	0.6765163297045101	0.6023166023166023	FALSE
3	0.5708333253860474	0.5918708443641663	0.5470055341720581	65	347	98	0.22022472321987152	450	0.8737863898277283	0.4475138187408447	0.48792630434036255	0.4663305878639221	31	69	34	0.3300970792770386	47	0.6025640964508057	0.6859756097560976	0.4845360824742268	FALSE
4	0.5791666507720947	0.5984291434288025	0.5553834438323975	61	343	102	0.22921347618103027	454	0.8815534114837646	0.41436463594436646	0.4790888726711273	0.4325367212295532	34	72	31	0.3009708821773529	44	0.5641025900840759	0.6920731707317073	0.4536082474226804	FALSE
5	0.6072916388511658	0.6360292434692383	0.5872477293014526	71	306	139	0.3123595416545868	444	0.8621359467506409	0.4254143536090851	0.4756036698818207	0.453136682510376	27	77	26	0.25242719054222107	51	0.6538461446762085	0.7019762845849803	0.49514563106796117	FALSE
6	0.5947916507720947	0.6467633843421936	0.5743755102157593	75	314	131	0.2943820357322693	440	0.8543689250946045	0.4530386626720429	0.4868060648441314	0.5007468461990356	12	87	16	0.1553398072719574	66	0.8461538553237915	0.6934594168636722	0.5714285714285714	FALSE
7	0.6177083253860474	0.6587237119674683	0.597872793674469	67	300	145	0.3258427083492279	448	0.8699029088020325	0.4254143536090851	0.5519043803215027	0.49358972907066345	1	103	0	0	77	0.9871794581413268	0.7094220110847189	0.5968992248062015	FALSE
8	0.6489583253860474	0.6969586610794067	0.6340242028236389	83	254	191	0.4292134940624237	432	0.8388349413871765	0.45856353640556335	0.5103310942649841	0.5180482864379883	4	94	9	0.08737864345312119	74	0.9487179517745972	0.7194004995836802	0.6016260162601627	FALSE
9	0.6489583253860474	0.7100905179977417	0.6299006938934326	56	281	164	0.36853933334350586	459	0.8912621140480042	0.45856353640556335	0.4990042448043823	0.5133806467056274	7	91	12	0.11650485545396803	71	0.9102563858032228	0.7314741035856573	0.5916666666666667	FALSE
10	0.6812499761581421	0.7562081217765808	0.6690083742141724	84	222	223	0.5011236071586609	431	0.8368932008743286	0.45856353640556335	0.4817027747631073	0.4573686718940735	43	55	48	0.4660194218158722	35	0.4487179517745972	0.738013698630137	0.4166666666666667	FALSE
11	0.7020833492279053	0.7495407462120056	0.6898003816604614	73	213	232	0.5213482975959778	442	0.8582524061203003	0.4917127192020416	0.4845655858516693	0.4896066784858704	41	51	52	0.5048543810844421	37	0.4743589758872986	0.7555555555555555	0.4457831325301205	FALSE
12	0.6875	0.7613352537155151	0.6801788806915283	113	187	258	0.5797752737998962	402	0.7805825471878052	0.4419889450073242	0.4714961349964142	0.44436144828796387	42	59	44	0.42718446254730225	36	0.4615384638309479	0.7282608695652174	0.4161849710982659	FALSE
13	0.7010416388511658	0.7745522260665894	0.6923421025276184	97	190	255	0.5730336904525757	418	0.8116505146026611	0.4917127192020416	0.474483460187912	0.47249191999435425	52	40	63	0.6116504669189453	26	0.3333333432674408	0.7444345503116652	0.3611111111111111	FALSE
14	0.7552083134651184	0.8338125944137573	0.7515326738357544	102	133	312	0.7011235952377319	413	0.8019417524337769	0.5635359287261963	0.4998755156993866	0.49514561891555786	78	1	102	0.9902912378311156	0	0	0.7785108388312912	0	TRUE
15	0.7989583611488342	0.8721195459365845	0.7958219647407532	83	110	335	0.7528089880943298	432	0.8388349413871765	0.5524861812591553	0.46813541650772095	0.5041075348854065	66	15	88	0.8543689250946045	12	0.1538461595773697	0.8174077578051088	0.22857142857142856	FALSE
