step	train_acc	train_auc	train_bal_acc	train_fn	train_fp	train_tn	train_tnr	train_tp	train_tpr	val_acc	val_auc	val_bal_acc	val_fn	val_fp	val_tn	val_tnr	val_tp	val_tpr	train_f1	val_f1	selected_epoch
1	0.5854166746139526	0.6609665155410767	0.5961819887161255	284	114	331	0.7438202500343323	231	0.4485436975955963	0.6187845468521118	0.636046826839447	0.6090365648269653	36	33	70	0.6796116232872009	42	0.5384615659713745	0.5372093023255814	0.5490196078431373	FALSE
2	0.6812499761581421	0.7353594303131104	0.6792407631874084	151	155	290	0.6516854166984558	364	0.7067961096763611	0.6077347993850708	0.6308190226554871	0.6117749810218811	28	43	60	0.582524299621582	50	0.6410256624221802	0.7040618955512572	0.5847953216374269	FALSE
3	0.6968749761581421	0.7629497051239014	0.6915130615234375	121	170	275	0.617977499961853	394	0.7650485634803772	0.6298342347145081	0.652228057384491	0.6296365261077881	29	38	65	0.6310679316520691	49	0.6282051205635071	0.7303058387395737	0.593939393939394	FALSE
4	0.6937500238418579	0.7717639207839966	0.6876840591430664	118	176	269	0.6044943928718567	397	0.7708737850189209	0.6132596731185913	0.6467512845993042	0.6150734424591064	29	41	62	0.6019417643547058	49	0.6282051205635071	0.7297794117647058	0.5833333333333334	FALSE
5	0.721875011920929	0.7997949123382568	0.7164939641952515	108	159	286	0.6426966190338135	407	0.7902912497520447	0.6408839821815491	0.6537216901779175	0.6346776485443115	32	33	70	0.6796116232872009	46	0.5897436141967773	0.7530064754856615	0.5859872611464968	FALSE
6	0.7416666746139526	0.8182611465454102	0.7390640377998352	116	132	313	0.7033708095550537	399	0.7747572660446167	0.6574585437774658	0.6725168228149414	0.6554642915725708	28	34	69	0.6699029207229614	50	0.6410256624221802	0.762906309751434	0.6172839506172839	FALSE
7	0.7562500238418579	0.8378880620002747	0.7537252902984619	109	125	320	0.7191011309623718	406	0.7883495092391968	0.6629834175109863	0.6875777840614319	0.6525391936302185	33	28	75	0.7281553149223328	45	0.5769230723381042	0.7762906309751434	0.5960264900662252	FALSE
8	0.7770833373069763	0.8560488820075989	0.773295521736145	90	124	321	0.7213482856750488	425	0.8252426981925964	0.6243094205856323	0.6400298476219177	0.6310057640075684	25	43	60	0.582524299621582	53	0.6794871687889099	0.7988721804511278	0.6091954022988506	FALSE
9	0.7739583253860474	0.8722853660583496	0.7734373807907104	113	104	341	0.766292154788971	402	0.7805825471878052	0.6685082912445068	0.6746327877044678	0.6558377146720886	34	26	77	0.7475728392601013	44	0.5641025900840759	0.7874632713026445	0.5945945945945946	FALSE
10	0.8229166865348816	0.8965244889259338	0.8234972953796387	95	75	370	0.8314606547355652	420	0.8155339956283569	0.6298342347145081	0.6620612144470215	0.6374160051345825	24	43	60	0.582524299621582	54	0.692307710647583	0.8316831683168316	0.6171428571428571	FALSE
11	0.809374988079071	0.9023104906082152	0.8087378740310669	94	89	356	0.800000011920929	421	0.8174757361412048	0.6906077265739441	0.697784423828125	0.667475700378418	39	17	86	0.8349514603614807	39	0.5	0.8214634146341463	0.582089552238806	FALSE
12	0.8427083492279053	0.9181804060935974	0.8422493934631348	78	73	372	0.8359550833702087	437	0.8485437035560608	0.6850828528404236	0.6941747665405273	0.6517301201820374	46	11	92	0.893203854560852	32	0.41025641560554504	0.8526829268292683	0.5289256198347108	FALSE
13	0.840624988079071	0.9312228560447692	0.8395439982414246	75	78	367	0.8247190713882446	440	0.8543689250946045	0.6685082912445068	0.6845905184745789	0.6542817950248718	35	25	78	0.7572815418243408	43	0.5512820482254028	0.8518877057115198	0.589041095890411	FALSE
14	0.8656250238418579	0.9419482946395874	0.866510272026062	75	54	391	0.8786516785621643	440	0.8543689250946045	0.6464088559150696	0.687079906463623	0.6364202499389648	34	30	73	0.708737850189209	44	0.5641025900840759	0.8721506442021804	0.5789473684210527	FALSE
15	0.8822916746139526	0.9546634554862976	0.8834187984466553	68	45	400	0.898876428604126	447	0.8679611682891846	0.7071823477745056	0.6965397000312805	0.6789270639419556	41	12	91	0.8834951519966125	37	0.4743589758872986	0.887785501489573	0.5826771653543307	TRUE
