step	train_acc	train_auc	train_bal_acc	train_fn	train_fp	train_tn	train_tnr	train_tp	train_tpr	val_acc	val_auc	val_bal_acc	val_fn	val_fp	val_tn	val_tnr	val_tp	val_tpr	train_f1	val_f1	selected_epoch
1	0.694972038269043	0.7446895837783813	0.6988275647163391	171	102	315	0.7553957104682922	307	0.642259418964386	0.759036123752594	0.7364946007728577	0.7306422591209412	29	11	87	0.8877550959587097	39	0.5735294222831726	0.6922209695603156	0.6610169491525424	FALSE
2	0.7955307364463806	0.8408436179161072	0.8018447160720825	139	44	373	0.8944844007492065	339	0.7092050313949585	0.7469879388809204	0.7463985681533813	0.7204381823539734	29	13	85	0.8673469424247742	39	0.5735294222831726	0.7874564459930313	0.65	FALSE
3	0.7988826632499695	0.8359320759773254	0.8052887916564941	138	42	375	0.8992805480957031	340	0.7112970948219299	0.7469879388809204	0.7213385105133057	0.7181872725486755	30	12	86	0.8775510191917419	38	0.5588235259056091	0.7906976744186046	0.6440677966101694	FALSE
4	0.7955307364463806	0.8409790992736816	0.8016917109489441	138	45	372	0.8920863270759583	340	0.7112970948219299	0.7469879388809204	0.7061824798583984	0.7181872725486755	30	12	86	0.8775510191917419	38	0.5588235259056091	0.7879490150637312	0.6440677966101694	FALSE
5	0.8044692873954773	0.8473656177520752	0.810824990272522	135	40	377	0.9040767550468444	343	0.7175732254981995	0.7530120611190796	0.7142857313156128	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7967479674796748	0.6495726495726496	FALSE
6	0.7977653741836548	0.8678496479988098	0.803171694278717	132	49	368	0.8824940323829651	346	0.723849356174469	0.7530120611190796	0.7258403301239014	0.7255402207374573	29	12	86	0.8775510191917419	39	0.5735294222831726	0.7926689576174112	0.6554621848739496	FALSE
7	0.805586576461792	0.8690988421440125	0.8117179870605469	133	41	376	0.9016786813735962	345	0.7217572927474976	0.7650602459907532	0.735744297504425	0.7379952073097229	28	11	87	0.8877550959587097	40	0.5882353186607361	0.7986111111111112	0.6722689075630253	TRUE
8	0.7977653741836548	0.8552873134613037	0.803171694278717	132	49	368	0.8824940323829651	346	0.723849356174469	0.7530120611190796	0.7555522322654724	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7926689576174112	0.6495726495726496	FALSE
9	0.8067039251327515	0.8722143769264221	0.8123049736022949	129	44	373	0.8944844007492065	349	0.7301255464553833	0.7530120611190796	0.741146445274353	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.801377726750861	0.6495726495726496	FALSE
10	0.8156424760818481	0.8714317083358765	0.8205201625823975	120	45	372	0.8920863270759583	358	0.7489539980888367	0.7228915691375732	0.7549519538879395	0.7045317888259888	27	19	79	0.8061224222183228	41	0.6029411554336548	0.8127128263337117	0.640625	FALSE
11	0.8078212141990662	0.8721039891242981	0.8115148544311523	116	56	361	0.8657074570655823	362	0.7573221921920776	0.7349397540092468	0.7459483742713928	0.7079831957817078	30	14	84	0.8571428656578064	38	0.5588235259056091	0.8080357142857143	0.6333333333333333	FALSE
12	0.8156424760818481	0.8876112699508667	0.8206731677055359	121	44	373	0.8944844007492065	357	0.7468619346618652	0.740963876247406	0.7633553147315979	0.7130852341651917	30	13	85	0.8673469424247742	38	0.5588235259056091	0.8122866894197952	0.6386554621848739	FALSE
13	0.8044692873954773	0.8866780996322632	0.8086827993392944	121	54	363	0.8705036044120789	357	0.7468619346618652	0.740963876247406	0.761704683303833	0.7153361439704895	29	14	84	0.8571428656578064	39	0.5735294222831726	0.8031496062992126	0.6446280991735537	FALSE
14	0.800000011920929	0.87930828332901	0.8044986724853516	125	54	363	0.8705036044120789	353	0.7384937405586243	0.7530120611190796	0.7463985681533813	0.7300419807434082	27	14	84	0.8571428656578064	41	0.6029411554336548	0.7977401129943503	0.6666666666666666	FALSE
15	0.8178771138191223	0.8785808086395264	0.823377251625061	123	40	377	0.9040767550468444	355	0.7426778078079224	0.740963876247406	0.7462484836578369	0.7175870537757874	28	15	83	0.8469387888908386	40	0.5882353186607361	0.8132875143184422	0.6504065040650406	FALSE
