step	train_acc	train_auc	train_bal_acc	train_fn	train_fp	train_tn	train_tnr	train_tp	train_tpr	val_acc	val_auc	val_bal_acc	val_fn	val_fp	val_tn	val_tnr	val_tp	val_tpr	train_f1	val_f1	selected_epoch
1	0.7687150835990906	0.7924756407737732	0.7749038934707642	151	56	361	0.8657074570655823	327	0.6841003894805908	0.7530120611190796	0.7073829770088196	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.759581881533101	0.6495726495726496	TRUE
2	0.800000011920929	0.8184882998466492	0.8066408634185791	139	40	377	0.9040767550468444	339	0.7092050313949585	0.7469879388809204	0.704081654548645	0.7181872725486755	30	12	86	0.8775510191917419	38	0.5588235259056091	0.7911318553092183	0.6440677966101694	FALSE
3	0.800000011920929	0.8324955105781555	0.8066408634185791	139	40	377	0.9040767550468444	339	0.7092050313949585	0.7469879388809204	0.7492496967315674	0.7204381823539734	29	13	85	0.8673469424247742	39	0.5735294222831726	0.7911318553092183	0.65	FALSE
4	0.8033519387245178	0.8456899523735046	0.809472918510437	134	42	375	0.8992805480957031	344	0.7196652889251709	0.7469879388809204	0.7309423685073853	0.7204381823539734	29	13	85	0.8673469424247742	39	0.5735294222831726	0.7962962962962963	0.65	FALSE
5	0.7977653741836548	0.8506366610527039	0.8025596141815186	128	53	364	0.8729016780853271	350	0.73221755027771	0.7469879388809204	0.7421968579292297	0.7204381823539734	29	13	85	0.8673469424247742	39	0.5735294222831726	0.7945516458569807	0.65	FALSE
6	0.8011173009872437	0.8429507613182068	0.8067687749862671	132	46	371	0.88968825340271	346	0.723849356174469	0.7469879388809204	0.7271908521652222	0.7181872725486755	30	12	86	0.8775510191917419	38	0.5588235259056091	0.7954022988505747	0.6440677966101694	FALSE
7	0.7977653741836548	0.8391379117965698	0.803171694278717	132	49	368	0.8824940323829651	346	0.723849356174469	0.740963876247406	0.7387455105781555	0.7130852341651917	30	13	85	0.8673469424247742	38	0.5588235259056091	0.7926689576174112	0.6386554621848739	FALSE
8	0.805586576461792	0.8519360423088074	0.8112589120864868	130	44	373	0.8944844007492065	348	0.7280334830284119	0.7168674468994141	0.7421968579292297	0.6926770806312561	30	17	81	0.8265306353569031	38	0.5588235259056091	0.8	0.6178861788617886	FALSE
9	0.7977653741836548	0.8476917147636414	0.8027126789093018	129	52	365	0.8752997517585754	349	0.7301255464553833	0.7228915691375732	0.7399460077285767	0.7000300288200378	29	17	81	0.8265306353569031	39	0.5735294222831726	0.7940841865756542	0.6290322580645161	FALSE
10	0.805586576461792	0.8626973032951355	0.81141197681427	131	43	374	0.8968824744224548	347	0.7259414196014404	0.6987951993942261	0.7370948195457458	0.6863745450973511	26	24	74	0.7551020383834839	42	0.6176470518112183	0.7995391705069125	0.6268656716417911	FALSE
11	0.8078212141990662	0.8488656878471375	0.8133509755134583	128	44	373	0.8944844007492065	350	0.73221755027771	0.6867470145225525	0.7285414338111877	0.6739195585250854	27	25	73	0.7448979616165161	41	0.6029411554336548	0.8027522935779816	0.6119402985074627	FALSE
12	0.8033519387245178	0.8531601428985596	0.8088608980178833	130	46	371	0.88968825340271	348	0.7280334830284119	0.7289156913757324	0.7075330018997192	0.7028811573982239	30	15	83	0.8469387888908386	38	0.5588235259056091	0.7981651376146789	0.628099173553719	FALSE
13	0.8067039251327515	0.8621805310249329	0.8123049736022949	129	44	373	0.8944844007492065	349	0.7301255464553833	0.7349397540092468	0.720288097858429	0.7079831957817078	30	14	84	0.8571428656578064	38	0.5588235259056091	0.801377726750861	0.6333333333333333	FALSE
14	0.8022346496582031	0.8578358888626099	0.8078148365020752	131	46	371	0.88968825340271	347	0.7259414196014404	0.740963876247406	0.7384454011917114	0.7130852341651917	30	13	85	0.8673469424247742	38	0.5588235259056091	0.7967853042479908	0.6386554621848739	FALSE
15	0.813407838344574	0.8690738081932068	0.8194992542266846	129	38	379	0.9088729023933412	349	0.7301255464553833	0.7168674468994141	0.7474489808082581	0.6859244108200073	33	14	84	0.8571428656578064	35	0.5147058963775635	0.8069364161849711	0.5982905982905983	FALSE
