step	train_acc	train_auc	train_bal_acc	train_fn	train_fp	train_tn	train_tnr	train_tp	train_tpr	val_acc	val_auc	val_bal_acc	val_fn	val_fp	val_tn	val_tnr	val_tp	val_tpr	train_f1	val_f1	selected_epoch
1	0.7687150835990906	0.830829918384552	0.7750569581985474	152	55	362	0.8681055307388306	326	0.6820083856582642	0.759036123752594	0.7560024261474609	0.7283913493156433	30	10	88	0.8979591727256775	38	0.5588235259056091	0.7590221187427241	0.6551724137931034	FALSE
2	0.792178750038147	0.8454190492630005	0.7979415655136108	137	49	368	0.8824940323829651	341	0.7133890986442566	0.759036123752594	0.7477490901947021	0.7261404395103455	31	9	89	0.9081632494926452	37	0.5441176295280457	0.7857142857142857	0.6491228070175439	FALSE
3	0.7955307364463806	0.8484994173049927	0.8018447160720825	139	44	373	0.8944844007492065	339	0.7092050313949585	0.7530120611190796	0.7427971363067627	0.7187875509262085	32	9	89	0.9081632494926452	36	0.529411792755127	0.7874564459930313	0.6371681415929203	FALSE
4	0.7877094745635986	0.8578659892082214	0.7931454181671143	137	53	364	0.8729016780853271	341	0.7133890986442566	0.7710843086242676	0.753451406955719	0.7385954260826111	30	8	90	0.918367326259613	38	0.5588235259056091	0.7821100917431193	0.6666666666666666	TRUE
5	0.800000011920929	0.8567622900009155	0.8057227730751038	133	46	371	0.88968825340271	345	0.7217572927474976	0.7108433842658997	0.7463985681533813	0.694327712059021	27	21	77	0.7857142686843872	41	0.6029411554336548	0.7940161104718066	0.6307692307692307	FALSE
6	0.7988826632499695	0.8689584136009216	0.8036056756973267	127	53	364	0.8729016780853271	351	0.7343096137046814	0.7469879388809204	0.7484993934631348	0.7181872725486755	30	12	86	0.8775510191917419	38	0.5588235259056091	0.7959183673469388	0.6440677966101694	FALSE
7	0.7877094745635986	0.8768449425697327	0.792533278465271	133	57	360	0.8633093237876892	345	0.7217572927474976	0.7650602459907532	0.7543517351150513	0.740246057510376	27	12	86	0.8775510191917419	41	0.6029411554336548	0.7840909090909091	0.6776859504132231	FALSE
8	0.8089385628700256	0.8806276917457581	0.8139379620552063	124	47	370	0.8872901797294617	354	0.7405857443809509	0.740963876247406	0.7478991746902466	0.7175870537757874	28	15	83	0.8469387888908386	40	0.5882353186607361	0.8054607508532423	0.6504065040650406	FALSE
9	0.8078212141990662	0.8778483271598816	0.812891960144043	125	47	370	0.8872901797294617	353	0.7384937405586243	0.740963876247406	0.7429471611976624	0.7108343243598938	31	12	86	0.8775510191917419	37	0.5441176295280457	0.8041002277904328	0.6324786324786325	FALSE
10	0.8011173009872437	0.8805925846099854	0.8072278499603271	135	43	374	0.8968824744224548	343	0.7175732254981995	0.7349397540092468	0.7462484836578369	0.7079831957817078	30	14	84	0.8571428656578064	38	0.5588235259056091	0.7939814814814815	0.6333333333333333	FALSE
11	0.813407838344574	0.8862215876579285	0.8185811042785645	123	44	373	0.8944844007492065	355	0.7426778078079224	0.740963876247406	0.7429471611976624	0.7108343243598938	31	12	86	0.8775510191917419	37	0.5441176295280457	0.8095781071835804	0.6324786324786325	FALSE
12	0.8078212141990662	0.8873052000999451	0.8135039806365967	129	43	374	0.8968824744224548	349	0.7301255464553833	0.740963876247406	0.7394958138465881	0.7108343243598938	31	12	86	0.8775510191917419	37	0.5441176295280457	0.8022988505747126	0.6324786324786325	FALSE
13	0.8078212141990662	0.884340226650238	0.8124328851699829	122	50	367	0.880095899105072	356	0.7447698712348938	0.7289156913757324	0.7361944913864136	0.7073829770088196	28	17	81	0.8265306353569031	40	0.5882353186607361	0.8054298642533937	0.64	FALSE
14	0.8033519387245178	0.8837883472442627	0.8070246577262878	118	58	359	0.8609112501144409	360	0.7531380653381348	0.7469879388809204	0.7214885950088501	0.7159363627433777	31	11	87	0.8877550959587097	37	0.5441176295280457	0.8035714285714286	0.6379310344827587	FALSE
15	0.8156424760818481	0.8929643034934998	0.8209791779518127	123	42	375	0.8992805480957031	355	0.7426778078079224	0.7469879388809204	0.7420468330383301	0.7204381823539734	29	13	85	0.8673469424247742	39	0.5735294222831726	0.8114285714285714	0.65	FALSE
