step	train_acc	train_auc	train_bal_acc	train_fn	train_fp	train_tn	train_tnr	train_tp	train_tpr	val_acc	val_auc	val_bal_acc	val_fn	val_fp	val_tn	val_tnr	val_tp	val_tpr	train_f1	val_f1	selected_epoch
1	0.7776536345481873	0.79835045337677	0.7814359664916992	131	68	349	0.8369304537773132	347	0.7259414196014404	0.7530120611190796	0.6967287063598633	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7771556550951848	0.6495726495726496	FALSE
2	0.7977653741836548	0.8081835508346558	0.8047018051147461	142	39	378	0.9064748287200928	336	0.7029288411140442	0.7530120611190796	0.7381452322006226	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7878077373974208	0.6495726495726496	FALSE
3	0.800000011920929	0.8316426277160645	0.8070999383926392	142	37	380	0.9112709760665894	336	0.7029288411140442	0.7530120611190796	0.7396458387374878	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7896592244418331	0.6495726495726496	FALSE
4	0.7966480255126953	0.8439741730690002	0.8030437231063843	139	43	374	0.8968824744224548	339	0.7092050313949585	0.759036123752594	0.753451406955719	0.7306422591209412	29	11	87	0.8877550959587097	39	0.5735294222831726	0.7883720930232558	0.6610169491525424	TRUE
5	0.800000011920929	0.8560097813606262	0.8067939281463623	140	39	378	0.9064748287200928	338	0.7071129679679871	0.7530120611190796	0.7330431938171387	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7906432748538011	0.6495726495726496	FALSE
6	0.7977653741836548	0.8425042629241943	0.8040897846221924	138	43	374	0.8968824744224548	340	0.7112970948219299	0.7530120611190796	0.7707082629203796	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7897793263646922	0.6495726495726496	FALSE
7	0.7977653741836548	0.8390425443649292	0.8047018051147461	142	39	378	0.9064748287200928	336	0.7029288411140442	0.7530120611190796	0.755402147769928	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7878077373974208	0.6495726495726496	FALSE
8	0.7932960987091064	0.8449474573135376	0.7991405725479126	137	48	369	0.8848921060562134	341	0.7133890986442566	0.759036123752594	0.7409964203834534	0.7306422591209412	29	11	87	0.8877550959587097	39	0.5735294222831726	0.7866205305651672	0.6610169491525424	FALSE
9	0.8011173009872437	0.8377532362937927	0.8076869249343872	138	40	377	0.9040767550468444	340	0.7112970948219299	0.7530120611190796	0.721188485622406	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7925407925407926	0.6495726495726496	FALSE
10	0.800000011920929	0.862250804901123	0.8066408634185791	139	40	377	0.9040767550468444	339	0.7092050313949585	0.7530120611190796	0.7408463358879089	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7911318553092183	0.6495726495726496	FALSE
11	0.8011173009872437	0.8539428114891052	0.8076869249343872	138	40	377	0.9040767550468444	340	0.7112970948219299	0.7530120611190796	0.7530012130737305	0.7255402207374573	29	12	86	0.8775510191917419	39	0.5735294222831726	0.7925407925407926	0.6554621848739496	FALSE
12	0.8044692873954773	0.8602339625358582	0.8111310005187988	137	38	379	0.9088729023933412	341	0.7133890986442566	0.7530120611190796	0.7486494779586792	0.7255402207374573	29	12	86	0.8775510191917419	39	0.5735294222831726	0.7957992998833139	0.6554621848739496	FALSE
13	0.8011173009872437	0.8613728284835815	0.8069218397140503	133	45	372	0.8920863270759583	345	0.7217572927474976	0.7530120611190796	0.7130852341651917	0.7232893109321594	30	11	87	0.8877550959587097	38	0.5588235259056091	0.7949308755760369	0.6495726495726496	FALSE
14	0.8033519387245178	0.8661940693855286	0.8099319934844971	137	39	378	0.9064748287200928	341	0.7133890986442566	0.759036123752594	0.7597538828849792	0.7306422591209412	29	11	87	0.8877550959587097	39	0.5735294222831726	0.7948717948717948	0.6610169491525424	FALSE
15	0.8100558519363403	0.8697510361671448	0.8162081241607666	131	39	378	0.9064748287200928	347	0.7259414196014404	0.7530120611190796	0.7477490901947021	0.7255402207374573	29	12	86	0.8775510191917419	39	0.5735294222831726	0.8032407407407407	0.6554621848739496	FALSE
